studid;classid;schoolid;delta;delta_now;beta;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;comp;pca_socpref_interact;pca_timepref;pca_socpref_nointeract;pca_riskpref;math;read;age;kmeans_cluster;hierarchical_cluster;gpa_i;female;pared_d3
176;26;5;0,69930071;0,51813471;0,74093264;50;50;26;50;60;50,830685;0;0,009081264;-0,964613464;0,825806318;0,083578359;-0,9999541;-1,2343645;198;3;3;4,5255127;female;0
177;29;5;0,66666669;0,56497175;0,84745759;50;25;27;50;50;27,42725;1;-1,485338978;-1,035458994;0,587892403;0,19386998;1,5534182;0,40915811;233;3;5;4,5999999;male;0
178;31;6;0,97087377;0,97087377;1;50;50;52;5;40;42,130955;1;-1,60166075;1,201753568;1,523848151;0,255288154;-1,08464;0,18745965;223;1;3;4;female;0
179;53;9;0,97087377;0,97087377;1;50;25;40;35;50;50;0;-0,275168494;1,517338654;0,458308293;0,530118943;-0,098410837;-0,043261789;182;1;2;4,3000002;male;1
180;7;2;0,69930071;0,97087377;1,3883495;50;50;1;100;90;33,333336;1;0,646655991;0,465029285;1,331970064;-1,991788986;0,42860097;1,0183607;188;2;2;5;female;1
182;27;5;0,97087377;0,97087377;1;25;25;20;50;20;35,963623;1;-0,676741818;1,293872056;-1,079026002;-0,630734068;-1,6384358;-2,2151353;222;4;3;3,9000001;female;0
183;9;2;0,5780347;0,68493152;1,1849315;25;20;12;50;50;30,286375;0;-0,114574536;-1,179632342;-0,671061543;-1,184952452;1,4545063;1,3233721;192;3;1;5;female;1
184;25;4;0,47619048;0,75757575;1,5909091;25;25;17;56,700001;40;28,305292;1;-0,172346835;-0,232376804;-1,288688276;-0,880274905;-1,6323229;-0,93005627;188;4;1;4;female;0
185;30;5;0,7352941;0,71942449;0,97841728;50;0;47;70;30;16,584656;1;-0,702163223;-0,42684944;-0,835432301;1,09371979;-0,2382212;-0,59891468;202;4;5;4,5255127;male;1
187;32;6;0,94339621;0,69930071;0,74125874;50;25;25;100;60;35,240742;1;0,537853294;0,646265405;-0,004559853;0,121264684;0,69099534;0,41525134;214;1;3;4,8000002;female;1
