;studid;classid;delta;beta;beta_0;dictator;dictator_schoolmate;risk;publicgood;trust;trust_return;mean_delta;mean_beta;mean_beta_0;mean_dictator;mean_dictator_schoolmate;mean_risk;mean_publicgood;mean_trust;mean_trust_return;sd_delta;sd_beta;sd_beta_0;sd_dictator;sd_dictator_schoolmate;sd_risk;sd_publicgood;sd_trust;sd_trust_return;delta_diff;beta_diff;beta_0_diff;dictator_diff;dictator_schoolmate_diff;risk_diff;publicgood_diff;trust_diff;trust_return_diff
35;35;18;0,77519381;1;0;0;0;50;25;50;42,515873;0,702806228;1,127552887;0,2508495;31,36363636;28,29545455;39;58,13636364;56,81818182;39,14141507;0,161750473;0,488897082;0,43605381;21,33529482;21,03549104;21,02606093;24,44097936;24,37531219;10,09389869;4,089722625;0,917867382;-0,2508495;-31,36363636;-28,29545455;-36,62199871;-57,11349137;-54,76692604;-34,92937824
36;36;32;0,59171599;0,97687858;0,023121417;50;50;40;100;80;45,929893;0,725454709;1,033615679;0,126406307;42,66666667;30,86666667;27,66666667;64,5866666;55,33333333;44,05520313;0,145150168;0,153687024;0,087809747;10,32795559;22,95995479;15,71926328;28,75596508;24,16215065;20,55945898;3,351123358;5,322669678;0,136906341;-37,82543748;-28,68896203;-25,12201815;-61,10912725;-52,02236979;-41,82120013
37;37;35;0,97087377;1;0;50;0;50;70;50;66,666672;0,844600519;0,961112914;0,158286562;39,03846154;20,76923077;34,92307692;45,73076923;51,53846154;38,77420727;0,100037259;0,222253602;0,154571547;13,28918975;14,59111514;13,78683876;19,57742682;18,18706218;17,2658214;8,860521167;3,538251734;-0,158286562;-35,27600491;-20,76923077;-31,29642974;-42,15522273;-48,78925446;-34,91301408
38;38;50;0,7352941;1,0542636;0,054263592;25;25;21;70;50;44,548943;0,809336776;0,998315501;0,056021008;34,02777778;26,66666667;33;59,07777789;62,22222222;41,234789;0,101160965;0,082310795;0,058780165;13,53478332;23,02492256;16,58135026;33,90839834;23,40325657;15,92001863;6,459218802;11,81001181;0,8671406;-32,18068504;-25,58088668;-31,73351689;-57,01339256;-60,08576742;-38,43649184
39;39;13;0,97087377;1;0;50;25;45;100;100;50;0,836248584;1,087574583;0,108947332;34,65000008;19,91153846;41,19230769;81,19615377;70,76923077;35,1147809;0,15865492;0,228730261;0,218973309;23,36452012;22,28000138;15,77090798;24,99408704;33,57654859;21,79900095;5,283156778;3,284387385;-0,108947332;-32,5100032;-18,78945595;-38,33895264;-77,19520747;-67,79096158;-32,8210978
40;40;41;0,69930071;0,47666666;0,52333331;50;25;50;40;50;39,982803;0,668788035;1,062543474;0,215549468;45,53571429;27,14285714;27,5;56,78571429;47,85714286;40,59042079;0,168221214;0,321558736;0,239952211;9,102967153;17,72810521;14,25455393;17,71647895;6,992932068;13,64279395;3,488242422;0,419819174;1,965440271;-40,04299975;-25,73266696;-23,99234902;-54,52792931;-40,70706625;-37,65973055
41;41;7;0,80000001;0,66137564;0,33862436;50;50;40;70;70;55;0,761690208;0,976298587;0,205489198;24,47321429;16,97321429;46,28571429;68,96785707;61,07142857;35,22831696;0,196982611;0,349743025;0,281270362;23,1778889;22,81856165;20,33398386;37,36852562;36,75134522;20,14555551;3,299582024;0,91473452;0,998421367;-22,31598589;-14,7820157;-44,31856411;-67,09462288;-59,16673639;-32,49818624
42;42;18;0,86206895;0,87878788;0,12121212;50;50;21;50;40;44,965611;0,702806228;1,127552887;0,2508495;31,36363636;28,29545455;39;58,13636364;56,81818182;39,14141507;0,161750473;0,488897082;0,43605381;21,33529482;21,03549104;21,02606093;24,44097936;24,37531219;10,09389869;4,626816201;0,669937654;0,027125643;-29,02010184;-25,9185193;-38,00123946;-56,0906191;-55,17717719;-34,68668331
43;43;12;0,97087377;1;0;50;100;46;100;100;100;0,877430207;0,965927545;0,073460906;32,51607146;24,83928571;38,67857143;74,46428571;69,28571429;36,75300055;0,127995701;0,115677337;0,094809286;25,24215705;29,00320977;12,27781369;35,88405417;34,52627249;24,69817127;6,707775859;7,678808119;-0,073460906;-30,53525818;-21,39139147;-34,93197605;-71,67753259;-66,38936919;-32,70411779
44;44;8;0,97087377;1;0;50;50;50;100;100;100;0,854829258;1,052000263;0,082520511;27,15517241;11,46551724;47,55172414;75,93793107;72,06896552;31,68219859;0,128504468;0,219903069;0,210012199;22,81255272;19,74748222;14,02443329;33,69417513;34,78292996;18,09340501;6,700345936;3,495457864;-0,082520511;-24,96339666;-8,933548891;-43,98651769;-72,97005904;-69,19399207;-26,15532291
